RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
CAM,TT,Aaron Judge,2024,R,NYY,32,10.3901,152,681,592450,2024,542,174,35,1,54,165,127,24.2,18.6,0.321,0.688,0.456,1.144,0.369,136,0,10,1100,408,22,9,20,0,2,114,1566,0.312,0.728,0.47,0.477,0.449,26.4,8.2,19.8,2771,30.7,379,173.393,11.9,693,54.4,851,100,31,75,5.599999999999998,0.416,15640,-10.5734,88.7485,-0.4201,213.903,"Judge, Aaron",897,Aaron Judge,ILK
RAC,IR,Bobby Witt Jr.,2024,R,KCR,24,10.078,154,683,677951,2024,614,205,45,11,32,103,53,15.1,7.8,0.334,0.599,0.389,0.988,0.355,108,12,30,810,343,4,8,8,0,8,124,1619,0.325,0.604,0.414,0.418,0.386,14.8,5.4,25,2502,22.2,519,146.977,9.2,643,45.2,555,77,28,130,7.3,0.46,25764,15.6123,59.4678,4.4423,170.0832,"Witt Jr., Bobby",6,Bobby Witt Jr.,GAP
HIG,TT,Shohei Ohtani,2024,L,LAD,29,7.9894,151,698,660271,2024,606,180,34,7,52,160,78,22.9,11.2,0.297,0.634,0.38,1.014,0.321,122,4,52,964,389,7,5,10,0,5,125,1676,0.314,0.667,0.42,0.442,0.397,21.3,9.3,20.2,2720,30.1,451,157.09,9.6,703,50.8,819,96,42,91,11.7,0.448,19755,-16.4198,70.5425,8.3686,174.4394,"Ohtani, Shohei",,Shohei Ohtani*,WWL
PR,NB,Gunnar Henderson,2024,L,BAL,23,7.9564,152,693,683002,2024,609,172,30,7,37,153,74,22.1,10.7,0.282,0.537,0.365,0.902,0.32,87,3,21,1021,461,2,7,1,0,3,115,1688,0.288,0.508,0.385,0.379,0.372,11.3,8.3,24.4,2783,24.1,459,128.931,7.8,589,44,671,52,38,112,11.400000000000002,0.461,26289,4.9052,49.2594,4.3852,156.3292,"Henderson, Gunnar",6,Gunnar Henderson*,MMA
ALA,ECB,Juan Soto,2024,L,NYY,25,7.9245,150,686,665742,2024,555,160,31,4,40,113,124,16.5,18.1,0.288,0.575,0.418,0.993,0.296,104,4,6,1143,537,10,3,1,0,4,120,1579,0.32,0.663,0.422,0.465,0.447,20,6.3,22.2,2838,21.8,446,142.056,9.3,622,48.5,619,89,28,99,-1.6000000000000014,0.404,20123,-5.2316,59.32,-3.8018,180.0435,"Soto, Juan",97,Juan Soto*,SEA
CK,HOB,Francisco Lindor,2024,B,NYM,30,7.396,148,670,596019,2024,601,163,39,1,31,124,54,18.5,8.1,0.271,0.494,0.342,0.836,0.294,86,4,27,892,403,7,12,0,0,3,103,1694,0.286,0.539,0.36,0.382,0.356,13.8,5.6,26.3,2645,23.6,480,107.295,6.4,537,45.7,624,66,27,126,10.4,0.475,12916,17.6022,31.7019,3.4135,135.2845,"Lindor, Francisco",6,Francisco Lindor#,BAB
CC,WC,Elly De La Cruz,2024,B,CIN,22,6.5127,153,671,682829,2024,593,156,35,9,25,207,69,30.8,10.3,0.263,0.479,0.345,0.824,0.362,70,16,65,954,498,12,6,2,2,1,102,1629,0.246,0.445,0.355,0.336,0.33,12.9,6.4,22.9,2659,32.8,389,102.359,5.9,545,42.2,872,50,25,89,20.5,0.489,26668,15.2948,25.4065,7.6067,122.1688,"De La Cruz, Elly",6,Elly De La Cruz#,RAH
DAY,WC,Jarren Duran,2024,L,BOS,27,6.3925,152,699,680776,2024,638,182,45,13,21,153,52,21.9,7.4,0.285,0.495,0.342,0.837,0.345,73,7,34,916,437,6,5,1,1,3,104,1749,0.28,0.467,0.358,0.347,0.338,9.6,6.3,25.8,2714,24.7,489,113.265,6.5,551,41.7,670,47,31,126,14.499999999999998,0.494,24617,7.7019,31.0913,7.5458,129.3023,"Duran, Jarren",87,Jarren Duran*,JFS
RAM,MVR,Ketel Marte,2024,B,ARI,30,5.9597,128,554,606466,2024,480,142,22,2,34,102,61,18.4,11,0.296,0.563,0.374,0.937,0.306,90,1,6,717,273,9,4,7,0,9,86,1238,0.298,0.54,0.392,0.391,0.381,11.6,7.5,25.8,2018,21.7,387,104.147,7.9,473,44.9,438,45,29,100,7.399999999999999,0.441,13613,3.8799,35.3761,0.9631,151.9114,"Marte, Ketel",4,Ketel Marte#,ILK
RAM,ECB,Jose Ramirez,2024,B,CLE,31,5.8043,152,662,608070,2024,602,166,36,1,37,79,53,11.9,8,0.276,0.523,0.333,0.856,0.263,109,7,40,874,395,9,1,12,0,5,108,1691,0.261,0.449,0.358,0.328,0.322,8.1,8.3,19.7,2638,15.3,528,107.808,6.4,573,36.1,404,43,44,104,3.9000000000000004,0.497,13510,1.0616,33.2545,5.4071,136.5929,"Ramírez, José",5,Jose Ramirez#,FMB
RM,PP,Vladimir Guerrero Jr.,2024,R,TOR,25,5.4237,151,666,665489,2024,589,191,42,1,30,92,69,13.8,10.4,0.324,0.552,0.398,0.95,0.343,99,2,2,846,389,16,5,12,0,3,97,1572,0.325,0.582,0.401,0.412,0.399,13.8,6.2,24.2,2483,21.8,500,127.476,8.2,549,44.2,541,69,31,121,3.4000000000000004,0.455,19611,-15.4439,45.9348,-5.4269,167.0866,"Guerrero Jr., Vladimir",35,Vladimir Guerrero Jr.,ANG
HOM,KR,William Contreras,2024,R,MIL,26,5.3565,149,656,661388,2024,577,164,37,2,23,133,73,20.3,11.1,0.284,0.475,0.366,0.841,0.333,92,2,7,931,349,19,3,5,0,3,96,1581,0.274,0.491,0.362,0.363,0.358,10.3,8.1,23.5,2587,27.3,447,99.371,6.1,501,41.9,706,46,36,105,9.200000000000001,0.466,20503,6.8136,23.1727,-2.8377,133.1355,"Contreras, William",2,William Contreras,BAB
ROC,SIP,Matt Chapman,2024,R,SFG,31,5.2247,146,621,656305,2024,551,137,36,1,26,151,62,24.3,10,0.249,0.459,0.33,0.789,0.295,73,2,15,874,488,12,6,3,0,2,93,1645,0.254,0.461,0.34,0.343,0.337,12.7,7.7,20.9,2600,23.7,402,85.732,5.4,462,41.3,616,51,31,84,14.3,0.505,16505,11.0924,18.7884,3.4438,120.6497,"Chapman, Matt",5,Matt Chapman,OCG
