year,Tm,nHit,Hit_age,PA,RF,BAh,OBPh,SLGh,OPSh,Pit_Age,IP,RA,FIP,WHIP,W
2023,Arizona Diamondbacks,54,27.4,6124,746,0.25,0.322,0.408,0.73,28.5,1435.1,761,4.35,1.324,84
2023,Atlanta Braves,53,27.9,6249,947,0.276,0.344,0.501,0.845,29.9,1440,716,4.1,1.302,104
2023,Baltimore Orioles,50,27.2,6123,807,0.255,0.321,0.421,0.742,28.4,1453.2,678,3.98,1.243,101
2023,Boston Red Sox,56,28.6,6174,772,0.258,0.324,0.424,0.748,30,1430,776,4.37,1.338,78
2023,Chicago Cubs,48,28.4,6220,819,0.254,0.33,0.421,0.751,29.6,1435.1,723,4.16,1.283,83
2023,Chicago White Sox,56,27.8,5980,641,0.238,0.291,0.384,0.675,29.2,1431.2,841,4.71,1.415,61
2023,Cincinnati Reds,65,26.8,6195,783,0.249,0.327,0.42,0.746,27.7,1439.1,821,4.79,1.417,82
2023,Cleveland Guardians,50,26.6,6096,662,0.25,0.313,0.381,0.695,26.1,1444,697,4.21,1.306,76
2023,Colorado Rockies,57,28.1,6055,721,0.249,0.31,0.405,0.715,29.7,1414,957,5.24,1.545,59
2023,Detroit Tigers,51,27.4,6080,661,0.236,0.305,0.382,0.686,27.7,1442.1,740,4.13,1.245,78
2023,Houston Astros,41,28.8,6253,827,0.259,0.331,0.437,0.768,29.2,1445.1,698,4.31,1.279,90
2023,Kansas City Royals,58,26.3,5985,676,0.244,0.303,0.398,0.7,29.1,1409,859,4.7,1.407,56
2023,Los Angeles Angels,66,28.6,6145,739,0.245,0.317,0.426,0.743,28,1431.2,829,4.65,1.418,73
2023,Los Angeles Dodgers,58,30.9,6333,906,0.257,0.34,0.455,0.795,28.1,1446.1,699,4.23,1.202,100
2023,Miami Marlins,52,29.4,6043,666,0.259,0.316,0.405,0.721,27.6,1435.1,723,4.13,1.292,84
2023,Milwaukee Brewers,58,27.7,6084,728,0.24,0.319,0.385,0.704,29.3,1443,647,4.21,1.186,92
2023,Minnesota Twins,48,28.6,6219,778,0.243,0.326,0.428,0.753,29,1451.1,659,3.89,1.197,87
2023,New York Mets,59,28.9,6056,717,0.238,0.316,0.407,0.723,31.9,1416.1,729,4.47,1.36,75
2023,New York Yankees,54,28.5,5973,673,0.227,0.304,0.397,0.701,29.1,1439.2,698,4.25,1.236,82
2023,Oakland Athletics,62,27.1,5966,585,0.223,0.298,0.37,0.669,28,1419.2,924,5.05,1.52,50
2023,Philadelphia Phillies,44,28.4,6207,796,0.256,0.327,0.438,0.765,29.8,1442.1,715,4,1.24,90
2023,Pittsburgh Pirates,58,27.3,6089,692,0.239,0.315,0.392,0.707,27.6,1430,790,4.4,1.382,76
2023,San Diego Padres,56,28.4,6180,752,0.244,0.329,0.413,0.742,30.7,1441,648,4.14,1.268,82
2023,Seattle Mariners,56,27.8,6201,758,0.242,0.321,0.413,0.734,27.4,1449.1,659,3.88,1.187,88
2023,San Francisco Giants,52,28.4,6095,674,0.235,0.312,0.383,0.695,30,1434.2,719,3.92,1.253,79
2023,St. Louis Cardinals,52,27.5,6204,719,0.25,0.326,0.416,0.742,29.7,1428.1,829,4.43,1.456,71
2023,Tampa Bay Rays,58,26.8,6164,860,0.26,0.331,0.445,0.776,28.5,1442,665,3.8,1.177,99
2023,Texas Rangers,48,28.3,6306,881,0.263,0.337,0.452,0.79,30.4,1436.1,716,4.31,1.268,90
2023,Toronto Blue Jays,46,28.8,6220,746,0.256,0.329,0.417,0.745,30.6,1451.2,671,4.06,1.25,89
2023,Washington Nationals,48,26.8,6085,700,0.254,0.314,0.396,0.709,28,1428.1,845,5.15,1.473,71
2023,League Average,49,28,6137,748,0.248,0.32,0.414,0.734,28.9,1436,748,4.33,1.315,81
2024,Arizona Diamondbacks,51,28.5,6284,886,0.263,0.337,0.44,0.777,28.6,1443.1,787,4.09,1.35,89
2024,Atlanta Braves,55,29.3,6075,705,0.243,0.309,0.415,0.724,31.5,1443.1,608,3.44,1.196,89
2024,Baltimore Orioles,60,26.9,6176,786,0.25,0.315,0.435,0.751,29.6,1442,698,3.93,1.237,91
2024,Boston Red Sox,57,27.3,6192,752,0.252,0.319,0.423,0.741,29.5,1452.2,747,4.1,1.256,81
2024,Chicago Cubs,56,27.8,6116,735,0.242,0.317,0.393,0.71,29.2,1432.1,669,4.04,1.248,83
2024,Chicago White Sox,63,27.8,5869,507,0.221,0.278,0.34,0.618,27.7,1420,813,4.56,1.437,41
2024,Cincinnati Reds,61,27.1,5970,698,0.231,0.305,0.388,0.693,29.1,1428,693,4.25,1.253,77
2024,Cleveland Guardians,50,26.1,5927,713,0.238,0.307,0.395,0.703,27.7,1428,625,3.98,1.202,93
2024,Colorado Rockies,54,27.9,6026,682,0.242,0.304,0.4,0.704,28.2,1426.2,928,4.94,1.519,61
2024,Detroit Tigers,48,26.7,6021,682,0.234,0.3,0.385,0.685,27.9,1447,642,3.7,1.162,86
2024,Houston Astros,55,28.8,6107,745,0.262,0.322,0.418,0.741,29.6,1432,653,4.03,1.244,89
2024,Kansas City Royals,50,28,5982,735,0.248,0.306,0.403,0.71,29.1,1428,645,3.76,1.243,86
2024,Los Angeles Angels,64,27.3,5975,635,0.229,0.301,0.369,0.671,28.9,1431,797,4.68,1.348,63
2024,Los Angeles Dodgers,60,30.3,6255,842,0.258,0.335,0.446,0.781,29.7,1445.2,685,4.18,1.227,98
2024,Miami Marlins,70,27.2,6048,637,0.244,0.3,0.378,0.678,27,1437.1,841,4.44,1.382,62
2024,Milwaukee Brewers,56,26.4,6170,778,0.248,0.326,0.403,0.729,29,1446,642,4.19,1.233,93
2024,Minnesota Twins,52,28.7,6123,742,0.246,0.315,0.411,0.726,27.9,1440.1,735,3.84,1.226,82
2024,New York Mets,59,30,6166,768,0.246,0.319,0.415,0.734,31,1442.1,697,4.05,1.26,89
2024,New York Yankees,54,28,6245,815,0.248,0.333,0.429,0.761,30.1,1452.2,667,4.06,1.243,94
2024,Oakland Athletics,55,26.5,6034,643,0.233,0.301,0.393,0.694,28.4,1436.2,765,4.22,1.333,69
2024,Philadelphia Phillies,47,29.1,6166,784,0.257,0.325,0.425,0.75,29.5,1442.2,671,3.86,1.236,95
2024,Pittsburgh Pirates,56,28.5,6086,664,0.234,0.301,0.371,0.672,27.4,1438.2,739,4.03,1.31,76
2024,San Diego Padres,49,29,6103,760,0.263,0.324,0.42,0.745,28.8,1439.1,669,3.77,1.221,93
2024,Seattle Mariners,50,28.9,6067,676,0.224,0.311,0.376,0.687,27.7,1433,608,3.73,1.077,85
2024,San Francisco Giants,58,28.6,6062,693,0.239,0.305,0.396,0.701,27.3,1433.2,698,3.8,1.301,80
2024,St. Louis Cardinals,44,27.6,6114,672,0.248,0.312,0.392,0.703,30.8,1444,719,3.95,1.258,83
2024,Tampa Bay Rays,54,27.2,6006,604,0.23,0.302,0.366,0.669,28.3,1440.2,663,4.05,1.202,80
